	ACURACY	PRECISION	RECALL	AUC	F1-SCORE	FP_RATE	FN_RATE	SPECIFICITY	HAMMING LOSS	ENTROPY LOSS
LOGISTIC REGRESSION	0.86	0.89	0.86	0.86	0.87	0.12	0.25	0.88	0.137931034	4.764051875
DECISION TREE	0.79	0.87	0.79	0.775	0.82	0.2	0.25	0.8	0.206896552	7.146091599
GAUSSIAN NAIVE BAYES	0.83	0.88	0.83	0.95	0.85	0.16	0.25	0.84	0.172413793	5.955071737
SVM	0.86	0.74	0.86	0.63	0.8	0	1	1	0.137931034	4.763969158
NEURAL NETWORK	0.76	0.73	0.76	0.44	0.74	0.12	1	0.88	0.24137931	4.763969158
RANDOM FOREST	0.86	0.86	0.86	0.87	0.86	0.08	0.5	0.92	0.137931034	4.763969158
LINEAR MODEL	0.72	0.81	0.72	0.63	0.76	0.24	0.5	0.76	0.275862068	4.763969158
