	ACURACY	PRECISION 	RECALL	AUC	F1-SCORE	FP_RATE	FN_RATE	SPECIFICITY	HAMMING LOSS	ENTROPY LOSS
LOGISTIC REGRESSION	0.95	0.95	0.95	0.991216216	0.95	0.075	0.054	0.925	0.052631579	4.763969158
DECISION TREE	0.95	0.95	0.95	0.947972973	0.95	0.05	0.054	0.95	0.052631579	4.763969158
GAUSSIAN NAIVE BAYES	0.94	0.94	0.94	0.988851351	0.94	0.125	0.027	0.875	0.061403509	4.763969158
SVM	0.44	0.42	0.44	0.755743243	0.43	0.85	0.4054	0.15	0.561403509	4.763969158
NEURAL NETWORK	0.35	0.12	0.35	0.966554054	0.18	0	1	1	0.649122807	4.763969158
RANDOM FOREST	0.98	0.98	0.98	0.998310811	0.98	0	0.027	1	0.01754386	4.763969158
LINEAR MODEL	0.94	0.94	0.94	0.923986486	0.94	0.125	0.27	0.875	0.061403509	2.120837129
