	ACCURACY	PRECISION	RECALL	AUC	F1-SCORE	FP_RATE	FN_RATE	SPECIFICITY	HAMMING LOSS	ENTROPY LOSS
LOGISTIC REGRESSION	0.8	0.86	0.8	0.949891068	0.8	0.352941176	0	0.647058824	0.196721311	6.794670687
DECISION TREE	0.74	0.76	0.74	0.749455338	0.74	0.352941176	0.148148148	0.647058824	0.262295082	9.059508483
GAUSSIAN NAIVE BAYES	0.87	0.9	0.87	0.934640523	0.87	0.235294118	0	0.764705882	0.131147541	4.529780458
SVM	0.44	0.2	0.44	0.566448802	0.27	1	0	0	0.557377049	19.25156695
NEURAL NETWORK	0.56	0.31	0.56	0.35620915	0.4	0	1	1	0.442622951	15.28765513
RANDOM FOREST	0.8	0.83	0.8	0.883442266	0.8	0.294117647	0.074074074	0.705882353	0.196721311	7.927076477
LINEAR MODEL	0.69	0.71	0.69	0.697712418	0.69	0.382352941	0.2222222	0.617647059	0.31147541	10.75814994
