	ACCURACY	PRECISION	RECALL	AUC	F1SCORE	FP_RATE	FN_RATE	SPECIFICITY	HAMMING LOSS	ENTROPY LOSS
LOGISTIC REGRESSION	0.82	0.82	0.82	0.864458405	0.81	0.067961165	0.411764706	0.932038835	0.181818182	6.279813872
DECISION TREE	0.7	0.71	0.7	0.672758424	0.7	0.242718447	0.411764706	0.757281553	0.298701299	10.31690717
GAUSSIAN NAIVE BAYES	0.82	0.82	0.82	0.885018085	0.82	0.097087379	0.333333333	0.902912621	0.902912621	6.055551679
SVM	0.48	0.46	0.48	0.726537217	0.47	0.359223301	0.843137255	0.640776699	0.519480519	17.94241361
NEURAL NETWORK	0.7	0.68	0.7	0.69579288	0.65	0.067961165	0.764705882	0.932038835	0.298701299	10.31681371
RANDOM FOREST	0.77	0.77	0.77	0.82295831	0.76	0.116504854	0.450980392	0.883495146	0.227272727	7.84977383
LINEAR MODEL	0.33	0.44	0.33	0.495050447	0.18	0.990291262	0.019607843	0.009708738	0.668831169	23.10113979
