	ACCURACY	PRECISION	RECALL	AUC	F1SCORE	FP_RATE	FN_RATE	SPECIFICITY	HAMMING LOSS	ENTROPY LOSS
LOGISTIC REGRESSION	0.7	0.65	0.7	0.671238245	0.67	0.827586207	0.136363636	0.172413793	0.299145299	10.33227662
DECISION TREE	0.61	0.62	0.61	0.484326019	0.61	0.75862069	0.272727273	0.24137931	0.393162393	13.57949834
GAUSSIAN NAIVE BAYES	0.5	0.83	0.5	0.684169279	0.5	0	0.670454545	1	0.504273504	17.41698981
SVM	0.62	0.59	0.62	0.587774295	0.6	0.862068966	0.227272727	0.137931034	0.384615385	13.28431562
NEURAL NETWORK	0.75	0.57	0.75	0.545454545	0.65	1	0	0	0.247863248	8.561091485
RANDOM FOREST	0.68	0.72	0.68	0.699255486	0.7	0.482758621	0.25	0.551724138	0.316239316	10.92260788
LINEAR MODEL	0.32	0.82	0.32	0.551136364	0.66	0	0.897727273	1	0.675213675	23.32105415
